time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62
Time(s), ANGL 101[BUS 1 230.00]1, POWR 101[BUS 1 230.00]1, VARS 101[BUS 1 230.00]1, SPD 101[BUS 1 230.00]1, IFD 101[BUS 1 230.00]1, ANGL 102[BUS 2 LV 20.000]EG, POWR 102[BUS 2 LV 20.000]EG, VARS 102[BUS 2 LV 20.000]EG, SPD 102[BUS 2 LV 20.000]EG, IFD 102[BUS 2 LV 20.000]EG, ANGL 102[BUS 2 LV 20.000]ND, POWR 102[BUS 2 LV 20.000]ND, VARS 102[BUS 2 LV 20.000]ND, SPD 102[BUS 2 LV 20.000]ND, IFD 102[BUS 2 LV 20.000]ND, ANGL 102[BUS 2 LV 20.000]RG, POWR 102[BUS 2 LV 20.000]RG, VARS 102[BUS 2 LV 20.000]RG, SPD 102[BUS 2 LV 20.000]RG, IFD 102[BUS 2 LV 20.000]RG, ANGL 102[BUS 2 LV 20.000]S, POWR 102[BUS 2 LV 20.000]S, VARS 102[BUS 2 LV 20.000]S, SPD 102[BUS 2 LV 20.000]S, IFD 102[BUS 2 LV 20.000]S, ANGL 102[BUS 2 LV 20.000]SG, POWR 102[BUS 2 LV 20.000]SG, VARS 102[BUS 2 LV 20.000]SG, SPD 102[BUS 2 LV 20.000]SG, IFD 102[BUS 2 LV 20.000]SG, ANGL 102[BUS 2 LV 20.000]SH, POWR 102[BUS 2 LV 20.000]SH, VARS 102[BUS 2 LV 20.000]SH, SPD 102[BUS 2 LV 20.000]SH, IFD 102[BUS 2 LV 20.000]SH, ANGL 102[BUS 2 LV 20.000]SW, POWR 102[BUS 2 LV 20.000]SW, VARS 102[BUS 2 LV 20.000]SW, SPD 102[BUS 2 LV 20.000]SW, IFD 102[BUS 2 LV 20.000]SW, ANGL 102[BUS 2 LV 20.000]WG, POWR 102[BUS 2 LV 20.000]WG, VARS 102[BUS 2 LV 20.000]WG, SPD 102[BUS 2 LV 20.000]WG, IFD 102[BUS 2 LV 20.000]WG, VOLT 101 [BUS 1 230.00], ANGL 101 [BUS 1 230.00], VOLT 102 [BUS 2 LV 20.000], ANGL 102 [BUS 2 LV 20.000], VOLT 103 [BUS 2 HV 230.00], ANGL 103 [BUS 2 HV 230.00], VOLT 104 [BUS 3 230.00], ANGL 104 [BUS 3 230.00], ITRM 101[BUS 1 230.00]1, ITRM 102[BUS 2 LV 20.000]EG, ITRM 102[BUS 2 LV 20.000]ND, ITRM 102[BUS 2 LV 20.000]RG, ITRM 102[BUS 2 LV 20.000]S, ITRM 102[BUS 2 LV 20.000]SG, ITRM 102[BUS 2 LV 20.000]SH, ITRM 102[BUS 2 LV 20.000]SW, ITRM 102[BUS 2 LV 20.000]WG
0.03, 0.2624, 0.0299988, 4.19227, 5.6558e-11, 22.7957, 17.0961, 4.73, 0.283942, 3.42011e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 5.52103e-11, 1.02, 16.7381, 10.96, 0.657891, 4.73554e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -1.36804e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.74364e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
0.035, 0.2624, 0.0299988, 4.19227, 6.56073e-11, 22.7957, 17.0961, 4.73, 0.283942, 3.73581e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 6.1694e-11, 1.02, 16.7381, 10.96, 0.657891, 5.15647e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -1.57851e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.75025e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
0.04, 0.2624, 0.0299988, 4.19227, 7.0132e-11, 22.7957, 17.0961, 4.73, 0.283942, 4.05152e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 6.81759e-11, 1.02, 16.7381, 10.96, 0.657891, 5.57741e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -1.78898e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.75245e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
0.045, 0.2624, 0.0299988, 4.19227, 7.61648e-11, 22.7957, 17.0961, 4.73, 0.283942, 4.36722e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 7.46558e-11, 1.02, 16.7381, 10.96, 0.657891, 5.99835e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -1.99945e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.75905e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
0.05, 0.2624, 0.0299988, 4.19227, 7.76731e-11, 22.7957, 17.0961, 4.73, 0.283942, 4.68292e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 8.11339e-11, 1.02, 16.7381, 10.96, 0.657891, 6.41928e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -2.20992e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.75905e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
0.055, 0.2624, 0.0299988, 4.19227, 8.06895e-11, 22.7957, 17.0961, 4.73, 0.283942, 4.99862e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 8.761e-11, 1.02, 16.7381, 10.96, 0.657891, 6.84022e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -2.42039e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.76346e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
0.06, 0.2624, 0.0299988, 4.19227, 8.14436e-11, 22.7957, 17.0961, 4.73, 0.283942, 5.31433e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 9.40842e-11, 1.02, 16.7381, 10.96, 0.657891, 7.26116e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -2.63085e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.76786e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
0.065, 0.2624, 0.0299988, 4.19227, 8.06895e-11, 22.7957, 17.0961, 4.73, 0.283942, 5.63003e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 1.00557e-10, 1.02, 16.7381, 10.96, 0.657891, 7.68209e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -2.84132e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.76786e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
0.07, 0.2624, 0.0299988, 4.19227, 8.06895e-11, 22.7957, 17.0961, 4.73, 0.283942, 5.94573e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 1.07027e-10, 1.02, 16.7381, 10.96, 0.657891, 8.10303e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -3.05179e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.77227e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
0.075, 0.2624, 0.0299988, 4.19227, 7.84272e-11, 22.7957, 17.0961, 4.73, 0.283942, 6.26143e-10, 1.07495, 2.33182, 5.98194e-09, 9.73797e-07, 1.13495e-10, 1.02, 16.7381, 10.96, 0.657891, 8.52397e-10, 1.07263, 2.33182, 2.21, 0.132661, 0, 0, 17.3059, 8.61, 0.516854, -7.36639e-11, 1.07633, 12.5964, 2.06, 0.123667, -3.26226e-10, 1.04962, 2.33182, 6.64, 0.398581, 0, 0, 16.8126, 11.76, 0.705951, 4.20937e-11, 1.07311, 1.02, 1.77447e-07, 1.02, 2.33182, 1.01888, 1.03694, 1.01634, -1.04152, 4.11017, 0.202688, 0, 0.197476, 0.189404, 0.205751, 0.138578, 0.203163, 0.198559
